Unnamed: 1,name,birth_year,death_year
correspondedWith,"Gilder, Richard Watson",1844,1909
associatedWith,"Gillette, William",1853,1937
associatedWith,"Gohdes, Clarence, 1901",,
associatedWith,"Goodman, Joseph T",1838,1917
associatedWith,"Gordon, Hilda H.,",,
associatedWith,"Grant, Ulysses S. (Ulysses Simpson)",1822,1885
associatedWith,"Gray, David",1870,1968
associatedWith,"Greeley, Horace",1811,1872
associatedWith,"Greeley, Horace",1811,1872
associatedWith,"Greene, Belle da Costa.",,
associatedWith,"Gribbel, John,",,
associatedWith,"Griswold, Alphonse M., 1834 -?",,
associatedWith,"Gross, Magnus, ca",1857,1955
associatedWith,"Groth, John",1908,1988
associatedWith,"Guare, John.",,
associatedWith,"Hale, Edward Everett",1822,1909
associatedWith,"Hall, Edwin Trowbridge.",,
associatedWith,"Hall, Fred J.",,
associatedWith,"Hall, Frederick J.",,
associatedWith,"Hamon, Louis (Cheiro)",1872,1896
associatedWith,"Hapgood, Charles H.",,
associatedWith,"Hapgood, Norman",1868,1937
associatedWith,"Harding, Dorothy Sturgis",1891,1978
associatedWith,"Harison, Leonard,",,
associatedWith,"Harkness, Edward Stephen",1874,1940
associatedWith,"Harkness, Edward Stephen",1874,1940
associatedWith,"Harper, J. Henry (Joseph Henry)",1850,1938
associatedWith,"Harper, Joseph Henry.",,
associatedWith,"Harper, Joseph W.",,
correspondedWith,"Harris, Joel Chandler",1848,1908
associatedWith,"Harris, Joel Chandler",1848,1908
associatedWith,"Harrison, K. I.",,
associatedWith,"Hart, J. M. (James Morgan)",1839,1916
associatedWith,"Hart, John S. (John Seely)",1810,1877
associatedWith,"Harte, Bret",1836,1902
associatedWith,"Harte, Bret",1836,1902
associatedWith,"Harvey, George Brinton McClellan",1864,1928
associatedWith,"Hatfield, J. T.,",,
associatedWith,"Hawks, Stanley, Mrs,",,
associatedWith,"Hay, John",1838,1905
associatedWith,"Heine, Heinrich",1797,1856
associatedWith,"Henderson, DuBose",1885,1940
associatedWith,"Henderson, W. E.",,
associatedWith,"Hersey, Mark Leslie",1864,1934
